REGION ID,MONTH,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG1,SEP-2008,NORTHERN,DELHI,CENTRAL,THERMAL,COAL,NTPC Ltd.,BADARPUR TPS,705,408,406.59
REG1,SEP-2008,NORTHERN,DELHI,STATE,THERMAL,COAL,IPGPCL,I.P.  T.P.S.,247.5,83,54.42
REG1,SEP-2008,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,I.P.CCPP,282,132,98.16
REG1,SEP-2008,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCGT-III,0,0,0
REG1,SEP-2008,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCPP,330.4,207,212.37
REG1,SEP-2008,NORTHERN,DELHI,STATE,THERMAL,COAL,IPGPCL,RAJGHAT TPS,135,36,74.48
REG1,SEP-2008,NORTHERN,DELHI,PRIVATE IPP,THERMAL,GAS,NDPL,RITHALA CCPP,0,0,0
REG1,SEP-2008,NORTHERN,HARYANA,CENTRAL,THERMAL,GAS,NTPC Ltd.,FARIDABAD CCPP,430,227,196.7
REG1,SEP-2008,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,FARIDABAD TPS.,180,63,45.16
REG1,SEP-2008,NORTHERN,HARYANA,CENTRAL,THERMAL,COAL,APCPL,INDIRA GANDHI STPP,0,0,0
REG1,SEP-2008,NORTHERN,HARYANA,PRIVATE IPP,THERMAL,COAL,JhPL(HR),MAHATMA GANDHI TPS,0,0,0
REG1,SEP-2008,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,PANIPAT TPS,1360,869,772.87
REG1,SEP-2008,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,RAJIV GANDHI TPS,0,0,0
REG1,SEP-2008,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,600,358,236.04
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,ADHPL,ALLAIN DUHANGAN  HPS,0,0,0
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,BAIRA SIUL  HPS,198,54,53.06
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,JHPL,BASPA  HPS,300,150,144.8
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,BASSI  HPS,60,14,20.76
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,LGPPL,BUDHIL HPS,0,0,0
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- I  HPS,540,212,178.79
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- II  HPS,300,137,137.97
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA-III HPS,0,0,0
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,GIRI BATA HPS,60,32,33.45
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,JKHPCL,KARCHAM WANGTOO HPS,0,0,0
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,LARJI  HPS,126,80,81.54
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,MPCL,MALANA  HPS,86,40,36.66
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,E.P.P.L.,MALANA-II  HPS,0,0,0
REG1,SEP-2008,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,NATHPA JHAKRI HPS,1500,765,756.15
