REGION ID,MONTH,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG1,JAN-2011,NORTHERN,DELHI,CENTRAL,THERMAL,COAL,NTPC Ltd.,BADARPUR TPS,705,481,419.08
REG1,JAN-2011,NORTHERN,DELHI,STATE,THERMAL,COAL,IPGPCL,I.P.  T.P.S.,0,0,0
REG1,JAN-2011,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,I.P.CCPP,270,134,131.6
REG1,JAN-2011,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCGT-III,250,390.6,0
REG1,JAN-2011,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCPP,330.4,219,225.41
REG1,JAN-2011,NORTHERN,DELHI,STATE,THERMAL,COAL,IPGPCL,RAJGHAT TPS,135,80,92.36
REG1,JAN-2011,NORTHERN,DELHI,PRIVATE IPP,THERMAL,GAS,NDPL,RITHALA CCPP,71.5,45.5,16.82
REG1,JAN-2011,NORTHERN,HARYANA,CENTRAL,THERMAL,GAS,NTPC Ltd.,FARIDABAD CCPP,431.59,255,278.89
REG1,JAN-2011,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,FARIDABAD TPS.,0,0,0
REG1,JAN-2011,NORTHERN,HARYANA,CENTRAL,THERMAL,COAL,APCPL,INDIRA GANDHI STPP,500,0,0
REG1,JAN-2011,NORTHERN,HARYANA,PRIVATE IPP,THERMAL,COAL,JhPL(HR),MAHATMA GANDHI TPS,0,0,0
REG1,JAN-2011,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,PANIPAT TPS,1360,810.05,824.86
REG1,JAN-2011,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,RAJIV GANDHI TPS,1200,535.68,288.2
REG1,JAN-2011,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,600,401.76,409.89
REG1,JAN-2011,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,ADHPL,ALLAIN DUHANGAN  HPS,192,27.55,8.67
REG1,JAN-2011,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,BAIRA SIUL  HPS,198,24,15.7
