REGION ID,MONTH,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG1,SEP-2012,NORTHERN,DELHI,CENTRAL,THERMAL,COAL,NTPC Ltd.,BADARPUR TPS,705,430,366.66
REG1,SEP-2012,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,I.P.CCPP,270,83,76.27
REG1,SEP-2012,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCGT-III,1000,175,17.92
REG1,SEP-2012,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCPP,330.4,177,208.16
REG1,SEP-2012,NORTHERN,DELHI,STATE,THERMAL,COAL,IPGPCL,RAJGHAT TPS,135,0,60.92
REG1,SEP-2012,NORTHERN,DELHI,PRIVATE IPP,THERMAL,GAS,NDPL,RITHALA CCPP,108,23,12.1
REG1,SEP-2012,NORTHERN,HARYANA,CENTRAL,THERMAL,GAS,NTPC Ltd.,FARIDABAD CCPP,431.59,199,194.22
REG1,SEP-2012,NORTHERN,HARYANA,CENTRAL,THERMAL,COAL,APCPL,INDIRA GANDHI STPP,1000,439,384.3
REG1,SEP-2012,NORTHERN,HARYANA,PRIVATE IPP,THERMAL,COAL,JhPL(HR),MAHATMA GANDHI TPS,1320,214,327.75
REG1,SEP-2012,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,PANIPAT TPS,1360,865,819.63
REG1,SEP-2012,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,RAJIV GANDHI TPS,1200,592,487.68
REG1,SEP-2012,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,600,382,0
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,ADHPL,ALLAIN DUHANGAN  HPS,192,94,81.99
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,BAIRA SIUL  HPS,198,56,76.6
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,JHPL,BASPA  HPS,300,150,180.83
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,BASSI  HPS,60,35,15.84
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,LGPPL,BUDHIL HPS,70,28,27.01
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- I  HPS,540,168,348.3
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- II  HPS,300,145,193.9
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA-III HPS,231,120,143.3
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,GIRI BATA HPS,60,38,37.64
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,JKHPCL,KARCHAM WANGTOO HPS,1000,611,555.12
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,LARJI  HPS,126,84,87.13
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,MPCL,MALANA  HPS,86,44,49.24
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,E.P.P.L.,MALANA-II  HPS,100,61,49.7
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,NATHPA JHAKRI HPS,1500,688,922.57
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,PARBATI-III HPS,0,0,0
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,RAMPUR HPS,0,0,0
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,SANJAY  HPS,120,76,55.58
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,HSPCL,SORANG HPS,0,0,0
REG1,SEP-2012,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,UHL-III HPS,0,0,0
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,STATE,THERMAL,HIGH SPEED DIESEL,JK - PDD,PAMPORE GPS (Liq.),175,0,0
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JK - PDD,BAGLIHAR  HPS,450,299,323.94
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,CHUTAK HPS,0,8,0
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,DULHASTI  HPS,390,253,265.6
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JK - PDD,LOWER JHELUM  HPS,105,37,41.94
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,NIMBOO BAZDO HPS,0,0,0
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SALAL  HPS,690,410,406.7
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SEWA-II  HPS,120,41,53.1
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JK - PDD,UPPER SINDH-II HPS,105,38,35.27
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,URI-I HPS,480,209,305.3
REG1,SEP-2012,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,URI-II HPS,0,63,0
REG1,SEP-2012,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,GH TPS (LEH.MOH.),920,599,597.41
REG1,SEP-2012,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,GND TPS(BHATINDA),440,211,116.51
REG1,SEP-2012,NORTHERN,PUNJAB,PRIVATE IPP,THERMAL,COAL,GVKP&IL,GOINDWAL SAHIB,0,0,0
REG1,SEP-2012,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,ROPAR TPS,1260,810,721.99
REG1,SEP-2012,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,ANANDPUR SAHIB HPS,134,75,60.35
REG1,SEP-2012,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,BHAKRA H  P S,1325,547,437.34
REG1,SEP-2012,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,DEHAR H P S,990,392,419.58
REG1,SEP-2012,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,GANGUWAL  HPS,77.65,46,51.08
REG1,SEP-2012,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,KOTLA  HPS,77.65,42,46.73
REG1,SEP-2012,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,MUKERIAN  HPS,207,99,116.73
REG1,SEP-2012,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,PONG H P S,396,106,169.57
REG1,SEP-2012,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,RANJIT SAGAR  HPS,600,150,109.47
REG1,SEP-2012,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,SHANAN  HPS,110,47,25.45
REG1,SEP-2012,NORTHERN,RAJASTHAN,CENTRAL,THERMAL,GAS,NTPC Ltd.,ANTA CCPP,419.33,229,168.37
REG1,SEP-2012,NORTHERN,RAJASTHAN,CENTRAL,THERMAL,LIGNITE,NLC,BARSINGSAR LIGNITE,250,100,33.16
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,CHHABRA TPP,500,258,314.78
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,THERMAL,GAS,RRVUNL,DHOLPUR CCPP,330,78,103
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,THERMAL,LIGNITE,RRVUNL,GIRAL TPS,250,42,14.1
REG1,SEP-2012,NORTHERN,RAJASTHAN,PRIVATE IPP,THERMAL,LIGNITE,RWPL (JSW),JALIPA KAPURDI TPP,540,242,283.86
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,KALISINDH TPS,0,0,0
REG1,SEP-2012,NORTHERN,RAJASTHAN,PRIVATE IPP,THERMAL,COAL,APL,KAWAI TPS,0,0,0
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,KOTA TPS,1240,718,634.35
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,THERMAL,GAS,RRVUNL,RAMGARH CCPP,113.8,35,41.21
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,SURATGARH TPS,1500,779,759
REG1,SEP-2012,NORTHERN,RAJASTHAN,CENTRAL,NUCLEAR,NUCLEAR,NPC,RAJASTHAN  A.P.S.,1180,559,799.81
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,HYDRO,HYDRO,RRVUNL,JAWAHAR SAGAR  HPS,99,1,14.3
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,HYDRO,HYDRO,RRVUNL,MAHI BAJAJ  HPS,140,15,51.19
REG1,SEP-2012,NORTHERN,RAJASTHAN,STATE,HYDRO,HYDRO,RRVUNL,R P SAGAR  HPS,172,0,3.99
REG1,SEP-2012,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,LAPPL,ANPARA C TPS,1200,371,315.06
