REGION_ID,MON_YEAR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG2,Jan-2015,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-III  HPS,60,14,8.65
REG1,Jan-2015,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,CHILLA  HPS,144,48,61.64
REG1,Jan-2015,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,DADRI (NCTPP),1820,1163,1094.99
REG3,Jan-2015,SOUTHERN,TELANGANA,STATE,THERMAL,COAL,NA,KOTHAGUDEM TPS,720,410,362.36
REG1,Jan-2015,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,KULHAL  HPS,30,7,6.88
REG4,Jan-2015,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,NTPC Ltd.,MUZAFFARPUR TPS,220,58,103.01
REG3,Jan-2015,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,NARIAMANGLAM  HPS,70,11,14.2
REG1,Jan-2015,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,NATHPA JHAKRI HPS,1500,198,193.59
REG3,Jan-2015,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,LIGNITE,NLC,NEYVELI TPS-II,1470,900,1033
REG3,Jan-2015,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,GVKP&IL,JEGURUPADU CCPP,455.4,79,73.05
REG2,Jan-2015,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,AMARKANTAK EXT TPS,450,267,174.2
REG1,Jan-2015,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,PANIPAT TPS,1360,512,402.6
REG3,Jan-2015,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,PAPANASAM  HPS.,32,12,14.02
REG2,Jan-2015,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,PARAS TPS,500,298,255.75
REG2,Jan-2015,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,BHUSAWAL TPS,1420,625,551.7
REG1,Jan-2015,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- II  HPS,300,36,32.62
REG3,Jan-2015,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,TUTICORIN TPS,1050,713,651.6
REG2,Jan-2015,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,GAS,ESSAR,ESSAR CCPP,515,0,0
REG2,Jan-2015,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BARGI  HPS,90,35,40.62
REG3,Jan-2015,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,SABARIGIRI  HPS.,300,92,47.29
REG3,Jan-2015,SOUTHERN,TAMIL NADU,PRIVATE IPP,THERMAL,DIESEL,SAMALPATI,SAMALPATTI DG,105.7,23,1.84
