"Date","Region","Station Name","Mode of Transport","Station Name","Utility","Sector","Capacity","Normative Stocks Required (In Days)","Daily Requirement","Actual Stock - Import","Actual Stock - Indigenous","Actual Stock - Total","Actual Stock - Days","Critical","Super Critical","Remarks"
2013-05-01,"NORTHERN","DELHI","RAIL","RAJGHAT TPS","INDRAPRASTHA  POWER GENERATION COMPANY LIMITED","STATE",135,20,1.9,0,3.75,3.75,2,"Critical","Super Critical","Less Receipt"
2013-05-01,"NORTHERN","DELHI","RAIL","BADARPUR TPS","NTPC LIMITED.","CENTRAL",705,30,11.7,0,0,0,0,"Critical","Super Critical","Less Receipt - CCL"
2013-05-01,"NORTHERN","HARYANA","RAIL","PANIPAT TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",1360,25,21.7,0,737.03,737.03,34,NA,NA,NA
2013-05-01,"NORTHERN","HARYANA","RAIL","YAMUNA NAGAR TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",600,25,7.7,12.21,199.91,212.11,28,NA,NA,NA
2013-05-01,"NORTHERN","HARYANA","RAIL","RAJIV GANDHI TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",1200,25,13.6,73.33,669.16,742.49,55,NA,NA,NA
2013-05-01,"NORTHERN","HARYANA","RAIL","INDIRA GANDHI STPP","ARAVALI POWER COMPANY PRIVATE LIMITED","CENTRAL",1500,25,21,108.01,311.14,419.15,20,NA,NA,NA
2013-05-01,"NORTHERN","HARYANA","RAIL","MAHATMA GANDHI TPS","JHAJJAR POWER LTD.","IPP",1320,25,18.5,20.57,40.43,61,3,"Critical","Super Critical","Inadequate coal avail.-CCL"
2013-05-01,"NORTHERN","PUNJAB","RAIL","GH TPS (LEH.MOH.)","PUNJAB STATE POWER CORP. LTD.","STATE",920,30,12.7,0,186.7,186.7,15,NA,NA,NA
2013-05-01,"NORTHERN","PUNJAB","RAIL","ROPAR TPS","PUNJAB STATE POWER CORP. LTD.","STATE",1260,25,18.3,0,583.15,583.15,32,NA,NA,NA
2013-05-01,"NORTHERN","PUNJAB","RAIL","GND TPS(BHATINDA)","PUNJAB STATE POWER CORP. LTD.","STATE",440,30,5.4,0,53.15,53.15,10,NA,NA,NA
2013-05-01,"NORTHERN","RAJASTHAN","RAIL","KOTA TPS","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1240,30,23.2,107.18,297.26,404.44,17,NA,NA,NA
2013-05-01,"NORTHERN","RAJASTHAN","RAIL","SURATGARH TPS","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1500,30,20.1,99.9,412.02,511.92,25,NA,NA,NA
