TRDATE,REGION,STATE_NAME,MODE_OF_TRANSPORT,STATION_NAME,UTILITY,SECTOR,CAPACITY,NORMATIVE_STOCKS_REQUIRED_IN_DAYS,DAILY_REQUIREMENT,ACTUAL_STOCK_IMPORT,ACTUAL_STOCK_INDIGENOUS,ACTUAL_STOCK_TOTAL,ACTUAL_STOCK_DAYS,CRITICAL,SUPERCRITICAL,REMARKS
1-May-15,EASTERN,JHARKHAND,RAIL,KODARMA TPP,DAMODAR VALLEY CORPORATION,CENTRAL,"1,000",20,7,0,217,217,31,NULL,NULL,NA
1-May-15,EASTERN,JHARKHAND,RAIL,BOKARO `B` TPS,DAMODAR VALLEY CORPORATION,CENTRAL,630,20,5,0,252,252,52,NULL,NULL,NA
1-May-15,EASTERN,JHARKHAND,RAIL,MAITHON RB TPP,MAITHON POWER LIMITED,IPP,"1,050",20,11,0,279,279,25,NULL,NULL,NA
1-May-15,EASTERN,JHARKHAND,RAIL,CHANDRAPURA(DVC) TPS,DAMODAR VALLEY CORPORATION,CENTRAL,890,20,12,0,392,392,34,NULL,NULL,NA
1-May-15,SOUTHERN,KARNATAKA,RAIL,RAICHUR TPS,KARNATAKA POWER CORPORATION LIMITED,STATE,"1,720",30,30,0,66,66,2,Critical,SuperCritical,NA
1-May-15,SOUTHERN,KARNATAKA,RAIL,BELLARY TPS,KARNATAKA POWER CORPORATION LIMITED,STATE,"1,000",30,13,0,163,163,12,NULL,NULL,NA
1-May-15,WESTERN,MADHYA PRADESH,RAIL,SATPURA TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,"1,330",20,13,0,51,51,4,Critical,NULL,NA
1-May-15,WESTERN,MADHYA PRADESH,PITHEAD,AMARKANTAK EXT TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,450,15,4,0,132,132,31,NULL,NULL,NA
1-May-15,WESTERN,MADHYA PRADESH,RAIL,SHRI SINGHAJI TPP,M. P. POWER GENERATING CORPORATION LIMITED,STATE,"1,200",20,11,0,211,211,19,NULL,NULL,NA
1-May-15,WESTERN,MADHYA PRADESH,RAIL,BINA TPS,JAI PRAKASH POWER VENTURE LTD.,IPP,500,25,5,27,223,250,48,NULL,NULL,NA
1-May-15,WESTERN,MADHYA PRADESH,RAIL,SANJAY GANDHI TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,"1,340",20,16,0,269,269,17,NULL,NULL,NA
1-May-15,WESTERN,MADHYA PRADESH,PITHEAD,VINDHYACHAL STPS,NTPC LIMITED.,CENTRAL,"4,760",15,61,452,"1,062","1,515",25,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,AMARAVATI TPS,INDIABULLS POWER LTD.,IPP,"1,350",20,5,0,7,7,1,Critical,SuperCritical,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,EMCO WARORA TPS,EMCO ENERGY LTD,IPP,600,20,7,0,20,20,3,Critical,SuperCritical,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,TIRORA TPS,ADANI POWER LTD.,IPP,"3,300",20,27,31,53,84,3,Critical,SuperCritical,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,KORADI TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"1,700",25,7,0,63,63,9,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,BUTIBORI TPP,Vidarbha Industries Power Ltd.,IPP,600,20,7,53,130,183,26,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,DAHANU TPS,RELIANCE INFRASTRUCTURE LTD.,PRIVATE,500,25,7,264,130,395,53,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,PARLI TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"1,130",25,14,0,139,139,10,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,PARAS TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,500,25,7,0,158,158,22,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,KHAPARKHEDA TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"1,340",25,18,0,183,183,10,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,NASIK TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,630,25,10,0,337,337,33,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,BHUSAWAL TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"1,420",20,15,0,364,364,25,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,MAUDA TPS,NTPC LIMITED.,CENTRAL,"1,000",20,15,177,387,563,38,NULL,NULL,NA
1-May-15,WESTERN,MAHARASHTRA,RAIL,CHANDRAPUR(MAHARASHTRA) STPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"2,840",20,31,44,483,527,17,NULL,NULL,NA
1-May-15,EASTERN,ORISSA,RAIL,KAMALANGA TPS,GMR ENERGY LIMITED,IPP,"1,050",20,13,61,74,135,11,NULL,NULL,NA
1-May-15,EASTERN,ORISSA,PITHEAD,IB VALLEY TPS,ORISSA POWER GENERATION CORPORATION LIMITED,STATE,420,15,6,0,183,183,32,NULL,NULL,NA
1-May-15,EASTERN,ORISSA,RAIL,STERLITE TPP,STERLITE ENERGY LIMITED,IPP,"2,400",20,17,2,225,228,13,NULL,NULL,NA
1-May-15,EASTERN,ORISSA,PITHEAD,TALCHER (OLD) TPS,NTPC LIMITED.,CENTRAL,460,15,9,0,282,282,31,NULL,NULL,NA
1-May-15,EASTERN,ORISSA,PITHEAD,TALCHER STPS,NTPC LIMITED.,CENTRAL,"3,000",15,53,37,"1,027","1,063",20,NULL,NULL,NA
1-May-15,NORTHERN,PUNJAB,RAIL,TALWANDI SABO TPP,STERLITE ENERGY LIMITED,IPP,660,25,7,0,0,0,0,Critical,SuperCritical,NA
1-May-15,NORTHERN,PUNJAB,RAIL,RAJPURA TPP,NABHA POWER LTD.,IPP,"1,400",30,15,217,157,374,25,NULL,NULL,NA
1-May-15,NORTHERN,PUNJAB,RAIL,GND TPS(BHATINDA),PUNJAB STATE POWER CORP. LTD.,STATE,440,30,4,0,203,203,57,NULL,NULL,NA
1-May-15,NORTHERN,PUNJAB,RAIL,GH TPS (LEH.MOH.),PUNJAB STATE POWER CORP. LTD.,STATE,920,30,7,0,373,373,51,NULL,NULL,NA
1-May-15,NORTHERN,PUNJAB,RAIL,ROPAR TPS,PUNJAB STATE POWER CORP. LTD.,STATE,"1,260",25,12,0,594,594,51,NULL,NULL,NA
1-May-15,NORTHERN,RAJASTHAN,RAIL,CHHABRA TPP,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,"1,000",30,12,10,218,228,19,NULL,NULL,NA
1-May-15,NORTHERN,RAJASTHAN,RAIL,KOTA TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,"1,240",30,18,77,500,578,32,NULL,NULL,NA
1-May-15,NORTHERN,RAJASTHAN,RAIL,SURATGARH TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,"1,500",30,22,83,714,797,36,NULL,NULL,NA
1-May-15,SOUTHERN,TAMIL NADU,INTER MODAL,VALLUR TPP,NTPC TAMILNADU ENERGY COMPANY LIMITED,CENTRAL,"1,500",30,15,3,29,32,2,Critical,SuperCritical,NA
1-May-15,SOUTHERN,TAMIL NADU,INTER MODAL,ENNORE TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,450,30,3,0,30,30,10,NULL,NULL,NA
1-May-15,SOUTHERN,TAMIL NADU,INTER MODAL,METTUR TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,"1,440",30,15,259,64,323,22,NULL,NULL,NA
1-May-15,SOUTHERN,TAMIL NADU,INTER MODAL,NORTH CHENNAI TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,"1,830",30,21,65,80,145,7,NULL,NULL,NA
1-May-15,SOUTHERN,TAMIL NADU,INTER MODAL,TUTICORIN TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,"1,050",30,18,209,116,325,18,NULL,NULL,NA
1-May-15,SOUTHERN,TELANGANA,PITHEAD,KAKATIYA TPS,TELANGANA STATE GENCO,STATE,500,15,8,0,174,174,22,NULL,NULL,NA
1-May-15,SOUTHERN,TELANGANA,RAIL,KOTHAGUDEM TPS,TELANGANA STATE GENCO,STATE,"1,720",20,28,0,664,664,23,NULL,NULL,NA
1-May-15,SOUTHERN,TELANGANA,PITHEAD,RAMAGUNDEM STPS,NTPC LIMITED.,CENTRAL,"2,600",15,44,0,819,819,19,NULL,NULL,NA
1-May-15,NORTHERN,UTTAR PRADESH,RAIL,PANKI TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,210,20,3,0,88,88,30,NULL,NULL,NA
1-May-15,NORTHERN,UTTAR PRADESH,RAIL,PARICHHA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,"1,140",30,16,0,164,164,11,NULL,NULL,NA
1-May-15,NORTHERN,UTTAR PRADESH,PITHEAD,ANPARA C TPS,LANCO ANPARA POWER PVT. LTD.,IPP,"1,200",15,16,0,210,210,13,NULL,NULL,NA
1-May-15,NORTHERN,UTTAR PRADESH,RAIL,TANDA TPS,NTPC LIMITED.,CENTRAL,440,25,8,0,215,215,26,NULL,NULL,NA
