"Date","Region","Station Name","Mode of Transport","Station Name","Utility","Sector","Capacity","Normative Stocks Required (In Days)","Daily Requirement","Actual Stock - Import","Actual Stock - Indigenous","Actual Stock - Total","Actual Stock - Days","Critical","Super Critical","Remarks"
2013-04-01,"NORTHERN","DELHI","RAIL","RAJGHAT TPS","INDRAPRASTHA  POWER GENERATION COMPANY LIMITED","STATE",135,20,1.9,0,21.66,21.66,11,NA,NA,NA
2013-04-01,"NORTHERN","DELHI","RAIL","BADARPUR TPS","NTPC LIMITED.","CENTRAL",705,30,12.1,0,58.16,58.16,5,"Critical",NA,"Less Receipt - CCL"
2013-04-01,"NORTHERN","HARYANA","RAIL","PANIPAT TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",1360,25,22.4,12.61,576.63,589.23,26,NA,NA,NA
2013-04-01,"NORTHERN","HARYANA","RAIL","YAMUNA NAGAR TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",600,25,7.9,5.47,207.29,212.76,27,NA,NA,NA
2013-04-01,"NORTHERN","HARYANA","RAIL","RAJIV GANDHI TPS","HARYANA POWER  GENERATION CORPORATION LIMITED","STATE",1200,25,14,65.53,651.63,717.16,51,NA,NA,NA
2013-04-01,"NORTHERN","HARYANA","RAIL","INDIRA GANDHI STPP","ARAVALI POWER COMPANY PRIVATE LIMITED","CENTRAL",1500,25,21.7,6.33,372.59,378.92,17,NA,NA,NA
2013-04-01,"NORTHERN","HARYANA","RAIL","MAHATMA GANDHI TPS","JHAJJAR POWER LTD.","IPP",1320,25,19.1,33.25,9.03,42.27,2,"Critical","Super Critical","Inadequate coal avail.-CCL"
2013-04-01,"NORTHERN","PUNJAB","RAIL","GH TPS (LEH.MOH.)","PUNJAB STATE POWER CORP. LTD.","STATE",920,30,13.1,0,242.65,242.65,19,NA,NA,NA
2013-04-01,"NORTHERN","PUNJAB","RAIL","ROPAR TPS","PUNJAB STATE POWER CORP. LTD.","STATE",1260,25,18.9,0,565.31,565.31,30,NA,NA,NA
2013-04-01,"NORTHERN","PUNJAB","RAIL","GND TPS(BHATINDA)","PUNJAB STATE POWER CORP. LTD.","STATE",440,30,5.6,0,82.17,82.17,15,NA,NA,NA
2013-04-01,"NORTHERN","RAJASTHAN","RAIL","KOTA TPS","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1240,30,24,118.53,356.41,474.94,20,NA,NA,NA
2013-04-01,"NORTHERN","RAJASTHAN","RAIL","SURATGARH TPS","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1500,30,20.8,0,347.49,347.49,17,NA,NA,NA
2013-04-01,"NORTHERN","RAJASTHAN","RAIL","CHHABRA TPP","RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",750,30,6.4,0,177.61,177.61,28,NA,NA,NA
2013-04-01,"NORTHERN","UTTAR PRADESH","PITHEAD","ANPARA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1630,15,24.4,0,487.13,487.13,20,NA,NA,NA
2013-04-01,"NORTHERN","UTTAR PRADESH","RAIL","HARDUAGANJ TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",665,25,5.5,0,81.98,81.98,15,NA,NA,NA
2013-04-01,"NORTHERN","UTTAR PRADESH","RAIL","OBRA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1278,20,13.4,0,283.49,283.49,21,NA,NA,NA
2013-04-01,"NORTHERN","UTTAR PRADESH","RAIL","PANKI TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",210,20,2.9,0,80.05,80.05,27,NA,NA,NA
2013-04-01,"NORTHERN","UTTAR PRADESH","RAIL","PARICHHA TPS","UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED","STATE",1140,30,16,0,190.6,190.6,12,NA,NA,NA
2013-04-01,"NORTHERN","UTTAR PRADESH","RAIL","DADRI (NCTPP)","NTPC LIMITED.","CENTRAL",1820,30,26.9,0,0,0,0,"Critical","Super Critical","Higher Generation"
2013-04-01,"NORTHERN","UTTAR PRADESH","PITHEAD","RIHAND STPS","NTPC LIMITED.","CENTRAL",3000,15,37.1,0,521.57,521.57,14,NA,NA,NA
2013-04-01,"NORTHERN","UTTAR PRADESH","PITHEAD","SINGRAULI STPS","NTPC LIMITED.","CENTRAL",2000,15,33.8,0,695.49,695.49,21,NA,NA,NA
2013-04-01,"NORTHERN","UTTAR PRADESH","RAIL","TANDA TPS","NTPC LIMITED.","CENTRAL",440,25,8.5,0,287.97,287.97,34,NA,NA,NA
