REGION ID,MONTH,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG1,AUG-2011,NORTHERN,DELHI,CENTRAL,THERMAL,COAL,NTPC Ltd.,BADARPUR TPS,705,401,426.19
REG1,AUG-2011,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,I.P.CCPP,270,126,106.55
REG1,AUG-2011,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCGT-III,500,93,2.37
REG1,AUG-2011,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCPP,330.4,203,222.19
REG1,AUG-2011,NORTHERN,DELHI,STATE,THERMAL,COAL,IPGPCL,RAJGHAT TPS,135,0,70.98
REG1,AUG-2011,NORTHERN,DELHI,PRIVATE IPP,THERMAL,GAS,NDPL,RITHALA CCPP,71.5,32,29.41
REG1,AUG-2011,NORTHERN,HARYANA,CENTRAL,THERMAL,GAS,NTPC Ltd.,FARIDABAD CCPP,431.59,260,246.42
REG1,AUG-2011,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,FARIDABAD TPS.,0,0,0
REG1,AUG-2011,NORTHERN,HARYANA,CENTRAL,THERMAL,COAL,APCPL,INDIRA GANDHI STPP,500,183,161.56
REG1,AUG-2011,NORTHERN,HARYANA,PRIVATE IPP,THERMAL,COAL,JhPL(HR),MAHATMA GANDHI TPS,0,0,0
REG1,AUG-2011,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,PANIPAT TPS,1360,842,883
REG1,AUG-2011,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,RAJIV GANDHI TPS,1200,411,456.5
REG1,AUG-2011,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,YAMUNA NAGAR TPS,600,370,377.47
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,ADHPL,ALLAIN DUHANGAN  HPS,192,123.72,100.64
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,BAIRA SIUL  HPS,198,98.91,76.5
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,JHPL,BASPA  HPS,300,212,237.59
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,BASSI  HPS,60,28.69,17.16
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,LGPPL,BUDHIL HPS,0,0,0
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- I  HPS,540,340,388.3
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- II  HPS,300,205,208.3
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA-III HPS,0,0,0
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,GIRI BATA HPS,60,40,41.74
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,JKHPCL,KARCHAM WANGTOO HPS,500,0,438.11
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,LARJI  HPS,126,91,90.47
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,MPCL,MALANA  HPS,86,73.55,71.39
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,E.P.P.L.,MALANA-II  HPS,100,68.76,28.56
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,NATHPA JHAKRI HPS,1500,978,1151.22
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,PARBATI-III HPS,0,0,0
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,RAMPUR HPS,0,0,0
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,SANJAY  HPS,120,85,83.13
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,HSPCL,SORANG HPS,0,0,0
REG1,AUG-2011,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,UHL-III HPS,0,0,0
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,STATE,THERMAL,HIGH SPEED DIESEL,JK - PDD,PAMPORE GPS (Liq.),175,0,0
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JK - PDD,BAGLIHAR  HPS,450,300.11,333.1
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,CHUTAK HPS,0,0,0
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,DULHASTI  HPS,390,266,258.4
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JK - PDD,LOWER JHELUM  HPS,105,29.34,44.16
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,NIMBOO BAZDO HPS,0,0,0
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SALAL  HPS,690,470,431.8
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SEWA-II  HPS,120,81,68.8
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JK - PDD,UPPER SINDH-II HPS,105,48.83,48.79
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,URI-I HPS,480,303,198.6
REG1,AUG-2011,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,URI-II HPS,0,0,0
REG1,AUG-2011,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,GH TPS (LEH.MOH.),920,607,622.71
REG1,AUG-2011,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,GND TPS(BHATINDA),440,236,186.25
REG1,AUG-2011,NORTHERN,PUNJAB,PRIVATE IPP,THERMAL,COAL,GVKP&IL,GOINDWAL SAHIB,0,0,0
REG1,AUG-2011,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,ROPAR TPS,1260,822,837.48
REG1,AUG-2011,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,ANANDPUR SAHIB HPS,134,85,89.43
REG1,AUG-2011,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,BHAKRA H  P S,1325,586,715.15
REG1,AUG-2011,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,DEHAR H P S,990,426,460.85
REG1,AUG-2011,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,GANGUWAL  HPS,77.65,47.27,44.21
REG1,AUG-2011,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,KOTLA  HPS,77.65,43.64,55.4
REG1,AUG-2011,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,MUKERIAN  HPS,207,80,132.66
REG1,AUG-2011,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,PONG H P S,396,146,236.18
REG1,AUG-2011,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,RANJIT SAGAR  HPS,600,205,133.31
REG1,AUG-2011,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,SHANAN  HPS,110,77,51.88
REG1,AUG-2011,NORTHERN,RAJASTHAN,CENTRAL,THERMAL,GAS,NTPC Ltd.,ANTA CCPP,419.33,255,229.18
REG1,AUG-2011,NORTHERN,RAJASTHAN,CENTRAL,THERMAL,LIGNITE,NLC,BARSINGSAR LIGNITE,250,112,47.17
REG1,AUG-2011,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,CHHABRA TPP,500,238,154.38
REG1,AUG-2011,NORTHERN,RAJASTHAN,STATE,THERMAL,GAS,RRVUNL,DHOLPUR CCPP,330,152,201.64
REG1,AUG-2011,NORTHERN,RAJASTHAN,STATE,THERMAL,LIGNITE,RRVUNL,GIRAL TPS,250,41,38.54
REG1,AUG-2011,NORTHERN,RAJASTHAN,PRIVATE IPP,THERMAL,LIGNITE,RWPL (JSW),JALIPA KAPURDI TPP,270,114,0
REG1,AUG-2011,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,KALISINDH TPS,0,0,0
REG1,AUG-2011,NORTHERN,RAJASTHAN,PRIVATE IPP,THERMAL,COAL,APL,KAWAI TPS,0,0,0
REG1,AUG-2011,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,KOTA TPS,1240,727,757.15
REG1,AUG-2011,NORTHERN,RAJASTHAN,STATE,THERMAL,GAS,RRVUNL,RAMGARH CCPP,113.8,43,51.11
REG1,AUG-2011,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,SURATGARH TPS,1500,735,903.28
