REGION_ID,MON_YEAR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG2,`Apr-15,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-III  HPS,60,0,8
REG1,`Apr-15,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,CHILLA  HPS,144,63,62
REG1,`Apr-15,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,DADRI (NCTPP),"1,820",925,897
REG3,`Apr-15,SOUTHERN,TAMIL NADU,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,MADRAS  A.P.S.,440,245,286
REG1,`Apr-15,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,KULHAL  HPS,30,9,16
REG4,`Apr-15,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,NTPC Ltd.,MUZAFFARPUR TPS,415,100,61
REG3,`Apr-15,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,NAGARJUN SGR  HPS,816,60,10
REG3,`Apr-15,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,NARIAMANGLAM  HPS,70,6,19
REG1,`Apr-15,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,NATHPA JHAKRI HPS,"1,500",315,433
REG3,`Apr-15,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,LIGNITE,NLC,NEYVELI TPS-II,"1,470",913,"1,012"
REG3,`Apr-15,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,GVKP&IL,JEGURUPADU CCPP,455,16,57
REG2,`Apr-15,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,AMARKANTAK EXT TPS,450,190,152
REG1,`Apr-15,NORTHERN,HARYANA,STATE,THERMAL,COAL,HPGCL,PANIPAT TPS,"1,360",401,7
REG3,`Apr-15,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,PAPANASAM  HPS.,32,2,4
REG2,`Apr-15,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,PARAS TPS,500,314,251
REG2,`Apr-15,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,BHUSAWAL TPS,"1,420",680,605
REG1,`Apr-15,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,CHAMERA- II  HPS,300,121,182
REG3,`Apr-15,SOUTHERN,TAMIL NADU,STATE,THERMAL,COAL,TNGDCL,TUTICORIN TPS,"1,050",675,682
REG2,`Apr-15,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,GAS,ESSAR,ESSAR CCPP,515,0,0
REG2,`Apr-15,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BARGI  HPS,90,43,85
REG3,`Apr-15,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,SABARIGIRI  HPS.,300,144,163
REG3,`Apr-15,SOUTHERN,TAMIL NADU,PRIVATE IPP,THERMAL,DIESEL,SAMALPATI,SAMALPATTI DG,106,8,0
