State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Chandigarh,Chandigarh,2004.0,103.9,3.4,0.0,11.3,58.6,89.2,96.1,718.0,20.3,140.0,0.0,2.4,1243.2
Chandigarh,Chandigarh,2005.0,33.4,45.5,29.8,6.8,6.6,120.6,411.1,236.9,125.5,0.0,0.0,0.0,1016.2
Chandigarh,Chandigarh,2006.0,23.1,0.6,111.7,0.0,49.7,66.5,227.7,211.4,36.7,8.8,7.4,8.4,752.0
Chandigarh,Chandigarh,2007.0,0.0,164.7,137.3,6.0,9.8,180.2,139.6,271.9,53.0,2.2,0.0,7.6,972.3
Chandigarh,Chandigarh,2008.0,13.1,2.2,0.0,33.2,49.8,376.2,182.6,291.0,263.2,11.2,2.0,0.0,1224.5
Chandigarh,Chandigarh,2009.0,7.0,19.0,19.6,11.6,31.2,37.8,202.2,192.9,326.0,11.2,14.7,0.7,873.9
Chandigarh,Chandigarh,2010.0,8.8,16.0,0.0,3.7,8.2,166.2,373.4,242.2,340.1,13.6,0.7,41.1,1214.0
Chhattisgarh,Bastar,2004.0,55.5,11.5,1.7,33.9,52.2,331.7,389.7,322.4,322.5,120.3,2.8,0.0,1644.2
Chhattisgarh,Bastar,2005.0,21.8,21.6,3.6,25.9,89.2,165.2,261.7,252.9,344.8,229.2,3.2,0.0,1419.1
Chhattisgarh,Bastar,2006.0,0.0,0.0,43.7,132.0,90.0,127.3,491.0,422.0,309.3,1.6,92.9,0.0,1709.8
Chhattisgarh,Bastar,2007.0,0.0,15.3,0.0,13.5,68.6,337.0,195.9,377.4,157.7,93.8,0.0,0.0,1259.2
Chhattisgarh,Bastar,2008.0,10.0,18.2,135.5,17.7,40.3,183.9,360.2,380.5,239.5,11.8,0.7,0.0,1398.3
Chhattisgarh,Bastar,2009.0,0.0,0.0,0.0,0.0,41.9,87.6,446.9,315.5,113.0,26.0,7.4,0.0,1038.3
Chhattisgarh,Bastar,2010.0,6.1,3.1,10.1,36.0,38.2,133.1,422.7,436.8,320.1,151.5,35.4,30.1,1623.2
Chhattisgarh,Bilaspur,2004.0,51.7,0.3,25.3,53.1,82.4,291.6,292.7,330.5,91.4,43.5,4.4,5.4,1272.3
Chhattisgarh,Bilaspur,2005.0,74.2,39.6,7.7,14.0,41.5,305.2,450.4,269.4,200.8,72.9,0.0,0.0,1475.7
Chhattisgarh,Bilaspur,2006.0,0.0,0.0,75.8,20.2,90.8,56.6,369.4,316.1,128.4,29.6,3.9,0.9,1091.7
Chhattisgarh,Bilaspur,2007.0,0.0,61.5,22.1,11.8,26.9,190.2,353.5,306.4,281.6,9.8,5.6,0.0,1269.4
Chhattisgarh,Bilaspur,2008.0,4.0,11.9,34.2,11.3,1.7,249.8,230.8,257.6,236.2,4.8,4.7,0.0,1047.0
Chhattisgarh,Bilaspur,2009.0,7.8,0.0,0.0,9.7,23.5,43.1,314.8,301.9,62.6,28.0,63.4,0.0,854.8
Chhattisgarh,Bilaspur,2010.0,3.3,3.5,0.1,6.3,19.6,51.5,300.3,250.5,273.7,36.4,7.3,21.4,973.9
Chhattisgarh,Dantewara,2004.0,N.A.,N.A.,N.A.,N.A.,N.A.,308.7,275.2,351.6,89.9,55.0,0.0,0.0,N.A.
Chhattisgarh,Dantewara,2005.0,19.0,0.0,0.0,1.0,17.3,165.8,295.8,210.2,347.1,121.5,0.0,0.0,1177.7
Chhattisgarh,Dantewara,2006.0,0.0,0.0,N.A.,N.A.,0.0,41.5,283.5,595.2,220.3,11.0,0.0,0.0,N.A.
Chhattisgarh,Dantewara,2007.0,0.0,2.5,0.0,5.3,0.0,104.8,301.7,398.2,511.3,361.8,0.0,0.0,1685.6
Chhattisgarh,Dantewara,2008.0,0.0,2.0,13.0,3.5,0.0,202.0,460.1,387.9,137.4,0.1,0.0,0.0,1206.0
Chhattisgarh,Dantewara,2009.0,0.0,0.0,0.0,0.0,0.0,14.4,398.9,155.5,110.3,19.5,10.5,0.0,709.1
Chhattisgarh,Dantewara,2010.0,17.2,0.0,0.0,3.0,0.0,117.7,524.4,457.7,356.4,72.0,40.0,42.8,1631.2
Chhattisgarh,Dhamtari,2004.0,0.0,0.0,0.0,0.0,76.7,215.1,245.2,239.4,109.6,30.0,0.0,0.0,916.0
Chhattisgarh,Dhamtari,2005.0,78.8,37.6,21.0,5.6,8.4,109.0,319.2,204.0,289.0,27.7,0.0,0.0,1100.3
Chhattisgarh,Dhamtari,2006.0,0.0,0.0,68.0,40.0,72.5,53.9,449.2,482.0,143.0,1.6,10.2,0.0,1320.4
Chhattisgarh,Dhamtari,2007.0,0.0,0.0,11.8,2.4,24.4,269.8,154.4,266.6,236.2,41.6,0.0,0.0,1007.2
Chhattisgarh,Dhamtari,2008.0,0.0,10.6,0.0,0.0,0.0,316.0,180.2,194.0,188.7,11.5,0.0,0.0,901.0
Chhattisgarh,Dhamtari,2009.0,0.0,0.0,0.0,0.0,0.0,98.7,648.9,142.3,77.3,1.3,144.5,0.0,1113.0
Chhattisgarh,Dhamtari,2010.0,4.0,0.0,0.0,0.0,3.8,70.2,432.4,202.5,347.8,112.0,20.5,17.9,1211.1
Chhattisgarh,Durg,2004.0,0.0,0.0,0.0,0.0,0.0,291.8,306.4,300.5,85.9,13.3,0.0,0.0,997.9
Chhattisgarh,Durg,2005.0,N.A.,N.A.,3.5,6.2,29.3,98.2,326.0,236.4,353.5,48.2,0.0,2.6,N.A.
Chhattisgarh,Durg,2006.0,0.0,0.0,26.8,18.2,44.8,27.4,251.7,392.6,120.5,4.4,0.0,0.0,886.4
Chhattisgarh,Durg,2007.0,0.0,5.8,1.8,0.0,0.0,229.6,298.4,328.8,202.1,2.0,0.0,0.0,1068.5
Chhattisgarh,Durg,2008.0,0.0,0.0,6.8,0.0,0.0,240.0,138.3,287.9,231.8,0.0,0.0,0.0,904.8
Chhattisgarh,Durg,2009.0,0.0,0.0,0.0,0.0,0.0,21.5,405.2,213.0,51.8,4.2,99.2,0.0,794.9
Chhattisgarh,Durg,2010.0,6.2,0.0,0.0,0.0,7.7,146.4,391.3,276.6,279.8,11.1,18.2,12.4,1149.7
Chhattisgarh,Janjgir,2004.0,31.2,2.2,12.3,23.3,3.9,169.1,344.1,385.7,51.0,27.9,0.0,0.0,1050.7
Chhattisgarh,Janjgir,2005.0,56.9,9.3,11.7,0.0,10.2,260.8,245.7,360.8,169.6,92.4,0.0,0.0,1217.4
Chhattisgarh,Janjgir,2006.0,0.0,0.0,73.8,35.7,13.9,85.5,431.7,416.3,142.7,2.2,1.3,0.0,1203.1
Chhattisgarh,Janjgir,2007.0,0.0,62.2,6.8,0.0,8.3,156.5,364.7,473.5,280.1,31.5,12.4,0.0,1396.0
Chhattisgarh,Janjgir,2008.0,1.2,12.8,9.0,20.0,0.0,231.6,351.4,526.5,252.1,0.0,0.0,0.0,1404.6
Chhattisgarh,Janjgir,2009.0,0.0,0.0,0.0,3.4,7.7,4.0,413.7,325.9,80.5,12.2,26.3,0.0,873.7
Chhattisgarh,Janjgir,2010.0,0.0,1.1,0.0,0.0,1.2,21.9,441.1,377.6,276.0,51.4,0.0,42.3,1212.6
Chhattisgarh,Jashpur,2004.0,13.0,0.0,0.0,23.0,64.8,282.0,399.7,318.3,193.4,34.6,0.0,0.0,1328.8
Chhattisgarh,Jashpur,2005.0,20.0,8.0,27.0,0.0,0.0,226.4,493.2,274.6,215.6,130.2,0.0,0.0,1395.0
Chhattisgarh,Jashpur,2006.0,0.0,0.0,0.0,0.0,2.0,25.8,372.2,269.3,110.2,56.8,0.0,0.0,836.3
Chhattisgarh,Jashpur,2007.0,0.0,0.0,3.0,0.0,0.0,207.6,281.9,408.2,236.4,96.4,0.0,0.0,1233.5
Chhattisgarh,Jashpur,2008.0,0.0,0.0,2.2,0.0,0.0,356.6,381.7,373.7,239.6,58.2,0.0,0.0,1412.0
Chhattisgarh,Jashpur,2009.0,0.0,0.0,0.0,0.0,0.0,11.4,447.7,396.0,119.4,89.5,0.0,0.0,1064.0
Chhattisgarh,Jashpur,2010.0,0.0,0.0,0.0,0.0,0.0,86.5,368.1,263.2,274.9,68.7,19.5,53.0,1133.9
Chhattisgarh,Kanker,2004.0,13.0,0.0,0.0,0.0,0.0,192.6,301.4,300.7,165.0,65.1,0.0,0.0,1037.8
Chhattisgarh,Kanker,2005.0,10.5,0.0,N.A.,65.0,65.0,169.9,439.9,165.9,273.0,56.5,0.0,0.0,N.A.
Chhattisgarh,Kanker,2006.0,0.0,0.0,59.5,59.3,0.0,94.4,624.5,443.2,255.8,19.0,16.0,0.0,1571.7
Chhattisgarh,Kanker,2007.0,0.0,0.0,0.0,0.0,0.1,479.6,87.6,416.8,204.2,47.4,0.0,0.0,1235.7
Chhattisgarh,Kanker,2008.0,0.0,0.0,0.0,0.0,0.0,192.6,207.5,148.4,90.6,13.1,0.0,0.0,652.2
Chhattisgarh,Kanker,2009.0,0.0,0.0,0.0,0.0,0.0,29.5,488.7,266.9,55.7,27.8,0.0,0.0,868.6
Chhattisgarh,Kanker,2010.0,30.6,0.2,0.0,0.0,0.0,76.0,414.6,484.2,325.3,98.7,0.0,51.2,1480.8
Chhattisgarh,Korba,2004.0,40.0,5.0,10.1,17.7,12.8,179.3,341.0,653.2,45.3,51.8,0.0,0.0,1356.2
Chhattisgarh,Korba,2005.0,63.9,35.9,0.0,0.0,6.7,231.6,544.0,378.5,191.3,30.4,0.0,0.0,1482.3
Chhattisgarh,Korba,2006.0,0.0,0.0,0.0,0.0,33.8,85.5,234.6,302.9,91.2,0.8,1.9,0.0,750.7
