STATE,STATION,District,,trim
ANDAMAN NICOBAR,AND. NICOBAR DG,Car Nicobar,,Car Nicobar
ANDHRA PRADESH,JEGURUPADU CCPP,East Godavari,,
ANDHRA PRADESH,PEDDAPURAM CCPP,East Godavari,,
ANDHRA PRADESH,LOWER SILERU  HPS,East Godavari,,
ANDHRA PRADESH,GMR Energy Ltd - Kakinada,East Godavari,,
ANDHRA PRADESH,VEMAGIRI CCPP,East Godavari,,
ANDHRA PRADESH,KONASEEMA CCPP,East Godavari,,
ANDHRA PRADESH,GAUTAMI CCPP,East Godavari,,
ANDHRA PRADESH,GODAVARI CCPP,East Godavri,,
ANDHRA PRADESH,VIJESWARAN CCPP,Godavari,,
ANDHRA PRADESH,NAGARJUN SGR  TPD,Guntur,,
ANDHRA PRADESH,NAGARJUN SGR RBC EXTN. HPS,Guntur,,
ANDHRA PRADESH,PULICHINTALA HPS,Guntur,,
ANDHRA PRADESH,HAMPI  HPS,Kadapa,,
ANDHRA PRADESH,RAYALASEEMA TPS,Kadapa,,
ANDHRA PRADESH,KOTHAGUDEM TPS,Khammam,,
ANDHRA PRADESH,KOTHAGUDEM TPS (NEW),Khammam,,
ANDHRA PRADESH,KONDAPALLI CCPP,Krishna,,
ANDHRA PRADESH,T B   DAM  HPS,Kurnool,,
ANDHRA PRADESH,LOWER JURALA HPS,Mahabubnagar,,
ANDHRA PRADESH,SRISAILAM  HPS,Mahabubnagar,,
ANDHRA PRADESH,PRIYADARSHNI  JURALA  HPS,Mahbubnagar,,
ANDHRA PRADESH,NAGARJUN SGR RBC   HPS,Nalgonda,,
ANDHRA PRADESH,NAGARJUN SGR  LBC  HPS,Nalgonda,,
ANDHRA PRADESH,NAGARJUN SGR  HPS,Nalgonda,,
ANDHRA PRADESH,PAINAMPURAM TPP,Nellore,,
ANDHRA PRADESH,THAMMINAPATNAM TPS,Nellore,,
ANDHRA PRADESH,SIMHAPURI TPS,Nellore,,
ANDHRA PRADESH,POCHAMPAD  HPS,Nizamabad,,
ANDHRA PRADESH,SRISAILAM LB  HPS,Palamoor,,
ANDHRA PRADESH,RAMAGUNDEM STPS,Peddapalli,,
ANDHRA PRADESH,RAMAGUNDEM - B TPS,Peddapalli,,
ANDHRA PRADESH,DAMODARAM SANJEEVAIAH TPS,Prakasam,,
ANDHRA PRADESH,Dr. N.TATA RAO TPS,Vijayawada,,
ANDHRA PRADESH,KONDAPALLI  EXTN CCPP .,Vijayawada,,
ANDHRA PRADESH,SIMHADRI,Vishakhapatnam,,
ANDHRA PRADESH,VIZAG TPP,Vishakhapatnam,,
ANDHRA PRADESH,MACHKUND  HPS,Vishakhapatnam,,
ANDHRA PRADESH,UPPER SILERU  HPS,Vishakhapatnam,,
ANDHRA PRADESH,LVS POWER DG,Vishakhapatnam,,
ANDHRA PRADESH,KAKATIYA TPS,Warangal,,
ARUNACHAL PRADESH,RANGANADI  HPS.,Lower Subansiri,,
ASSAM,CHANDRAPUR(ASSAM) TPS,Chandrapur,,
ASSAM,KATHALGURI CCPP,Dibrugarh,,
ASSAM,NAMRUP CCPP,Dibrugarh,,
ASSAM,NAMRUP ST,Dibrugarh,,
ASSAM,KARBI LANGPI  HPS.,East Karbi Anglong,,
ASSAM,KOPILI  HPS.,North Cachar Hills,,
ASSAM,LAKWA GT,Sivasagar,,
BIHAR,NABI NAGAR TPP,Aurangabad,,
BIHAR,BARAUNI TPS,Begusarai,,
BIHAR,KAHALGAON TPS,Bhagalpur,,
BIHAR,MUZAFFARPUR TPS,Muzaffarpur,,
BIHAR,BARH II,Patna,,
CHHATTISGARH,SIPAT STPS,Bilaspur,,
CHHATTISGARH,UCHPINDA TPP,Champa,,
CHHATTISGARH,BHILAI TPS,Durg,,
CHHATTISGARH,AKALTARA TPS,Janjgir Champa,,
CHHATTISGARH,BARADARHA TPS,Janjgir Champa,,
CHHATTISGARH,MARWA TPS,Janjgir Champa,,
CHHATTISGARH,SVPL TPP,Kobra,,
CHHATTISGARH,KORBA-II,Kobra,,
CHHATTISGARH,CHAKABURA TPP,Korba,,
CHHATTISGARH,HASDEOBANGO  HPS,Korba,,
CHHATTISGARH,KATGHORA TPP,Korba,,
CHHATTISGARH,PATHADI TPP,Korba,,
CHHATTISGARH,RATIJA TPS,Korba,,
CHHATTISGARH,BANDAKHAR TPP,Korba,,
CHHATTISGARH,TRN ENERGY TPP,Korba,,
CHHATTISGARH,BALCO TPS,Korba,,
CHHATTISGARH,SALORA TPP,Korba,,
CHHATTISGARH,DSPM TPS,Korba,,
CHHATTISGARH,KORBA STPS,Korba,,
CHHATTISGARH,KORBA-WEST TPS,Korba,,
CHHATTISGARH,SWASTIK KORBA TPP,Korba,,
CHHATTISGARH,KASAIPALLI TPP,Korba,,
CHHATTISGARH,KORBA-III,Korba,,
CHHATTISGARH,OP JINDAL TPS,Raigarh,,
CHHATTISGARH,BINJKOTE TPP,Raigarh,,
CHHATTISGARH,TAMNAR TPP,Raigarh,,
CHHATTISGARH,AVANTHA BHANDAR,Raigarh,,
DELHI,RAJGHAT TPS,New delhi,,
DELHI,RITHALA CCPP,New Delhi,,
DELHI,BADARPUR TPS,New Delhi,,
DELHI,I.P.CCPP,New Delhi,,
DELHI,PRAGATI CCGT-III,North West Delhi,,
DELHI,PRAGATI CCPP,North West Delhi,,
GOA,GOA CCPP (Liq.),South goa,,
GUJARAT,S SAROVAR RBPH  HPS,Ahmedabad,,
GUJARAT,SABARMATI (D-F STATIONS),Ahmedabad,,
GUJARAT,SABARMATI (C STATION),Ahmedabad,,
GUJARAT,S SAROVAR CHPH  HPS,Ahmedabad,,
GUJARAT,VATWA CCPP,Ahmedabad,,
GUJARAT,PIPAVAV CCPP,Amreli,,
GUJARAT,DHUVARAN CCPP,Anand,,
GUJARAT,GANDHAR CCPP,Bharuch,,
GUJARAT,DGEN MEGA CCPP,Bharuch,,
GUJARAT,PEGUTHAN CCPP,Bharuch,,
GUJARAT,DGEN MEGA CCPP,Bharuch,,
GUJARAT,GANDHI NAGAR TPS,Gandhinagar,,
GUJARAT,SIKKA REP. TPS,jamnagar,,
GUJARAT,SALAYA TPP,Jamnagar,,
GUJARAT,WANAKBORI TPS,Kheda,,
